,tenure,MonthlyCharges,TotalCharges,gender_Female,gender_Male,SeniorCitizen_No,SeniorCitizen_Yes,Partner_No,Partner_Yes,Dependents_No,Dependents_Yes,PhoneService_No,PhoneService_Yes,MultipleLines_No,MultipleLines_No_phone_service,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber_optic,InternetService_No,OnlineSecurity_No,OnlineSecurity_No_internet_service,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_No_internet_service,OnlineBackup_Yes,DeviceProtection_No,DeviceProtection_No_internet_service,DeviceProtection_Yes,TechSupport_No,TechSupport_No_internet_service,TechSupport_Yes,StreamingTV_No,StreamingTV_No_internet_service,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_No_internet_service,StreamingMovies_Yes,Contract_Month_to_month,Contract_One_year,Contract_Two_year,PaperlessBilling_No,PaperlessBilling_Yes,PaymentMethod_Bank_transfer_automatic_,PaymentMethod_Credit_card_automatic_,PaymentMethod_Electronic_check,PaymentMethod_Mailed_check,ABSOLUTE_DIFF_MonthlyCharges_,ABSOLUTE_DIFF_TotalCharges_,ABSOLUTE_DIFF_tenure_,MonthlyCharges_0,TotalCharges_0,tenure_0,COSINE_MonthlyCharges_,COSINE_TotalCharges_,COSINE_tenure_,EXPONENTIAL_WEIGHTED_STD_MonthlyCharges_com_0_5_,EXPONENTIAL_WEIGHTED_STD_TotalCharges_com_0_5_,EXPONENTIAL_WEIGHTED_STD_tenure_com_0_5_,EXPONENTIAL_WEIGHTED_VARIANCE_MonthlyCharges_com_0_5_,EXPONENTIAL_WEIGHTED_VARIANCE_TotalCharges_com_0_5_,EXPONENTIAL_WEIGHTED_VARIANCE_tenure_com_0_5_,MonthlyCharges_tenure,TotalCharges_MonthlyCharges,tenure_MonthlyCharges,MonthlyCharges_1,TotalCharges_1,tenure_1,NATURAL_LOGARITHM_MonthlyCharges_,NATURAL_LOGARITHM_TotalCharges_,NATURAL_LOGARITHM_tenure_,Churn
0,35.0,49.2,1701.65,False,True,True,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,,,,49.2,1701.65,35.0,0.48408210693916126,0.4596295935716151,-0.9036922050915067,,,,,,,True,True,False,49.2,1701.65,35.0,3.8958936234982624,7.439353647563397,3.5553480614894135,0
1,15.0,75.1,1151.55,False,True,True,False,False,True,False,True,False,True,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,25.89999999999999,550.1000000000001,20.0,75.1,1151.55,15.0,0.955859918302251,-0.15565693472513725,-0.7596879128588213,18.314065632731573,388.97944033071985,14.14213562373095,335.4049999999997,151305.00500000006,199.99999999999994,True,True,False,75.1,1151.55,15.0,4.318820558770089,7.048864139942017,2.70805020110221,0
2,13.0,40.55,590.35,False,True,True,False,False,True,False,True,True,False,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,34.55,561.1999999999999,2.0,40.55,590.35,13.0,-0.9580421853441032,0.9639257379592275,0.9074467814501962,21.157468221374245,512.9883054597459,8.521466107154604,447.6384615384611,263157.00153846154,72.61538461538463,True,True,False,40.55,590.35,13.0,3.702535780561422,6.380715581353119,2.5649493574615367,0
3,26.0,73.5,1905.7,True,False,True,False,False,True,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,32.95,1315.35,13.0,73.5,1905.7,26.0,-0.32160813176404734,-0.31841368015509597,0.6469193223286404,20.092481611480757,791.0913714913576,8.6764491141693,403.7078173076923,625825.558048077,75.28076923076924,True,True,False,73.5,1905.7,26.0,4.297285406218791,7.55260467413433,3.258096538021482,0
4,1.0,44.55,44.55,False,True,True,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,28.950000000000003,1861.15,25.0,44.55,44.55,1.0,0.8431383686591827,0.8431383686591827,0.5403023058681398,18.13642133734271,1101.0278139168854,15.17498485301571,328.9297789256199,1212262.2470185957,230.28016528925622,True,False,False,44.55,44.55,1.0,3.796612153916818,3.796612153916818,0.0,0
5,66.0,79.5,5196.1,False,True,True,False,True,False,False,True,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,34.95,5151.55,65.0,79.5,5196.1,66.0,-0.5733695234681091,0.9955618462225079,-0.99964745596635,21.38818011142589,3169.0126489610725,39.60018833279834,457.4542484787939,10042641.169275273,1568.1749159930976,True,True,False,79.5,5196.1,66.0,4.375757021660286,8.555663623178814,4.189654742026425,0
6,1.0,19.8,19.8,True,False,True,False,True,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,59.7,5176.3,65.0,19.8,19.8,1.0,0.5813218118144357,0.5813218118144357,0.5403023058681398,35.79553961809596,3032.22493198763,38.10611813614197,1281.3206565506773,9194388.038167387,1452.0762394056082,True,False,False,19.8,19.8,1.0,2.9856819377004897,2.9856819377004897,0.0,0
7,40.0,56.6,2379.1,True,False,True,False,False,True,True,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,36.8,2359.2999999999997,39.0,56.6,2379.1,40.0,0.9986827900805341,-0.6102967141947326,-0.6669380616522619,24.593163765407358,1910.6534461399817,27.103331637994206,604.8237039921454,3650596.591246588,734.5905858790976,True,True,False,56.6,2379.1,40.0,4.036008985209137,7.774477543887798,3.6888794541139363,0
8,65.0,59.8,3808.2,True,False,True,False,False,True,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False,True,False,False,3.1999999999999957,1429.1,25.0,59.8,3808.2,65.0,-0.9939846525206644,0.8311054094372842,-0.562453851238172,15.647610369569835,1636.0713557145311,26.95233728470213,244.84771027786942,2676729.4809895842,726.4284851083445,False,True,True,59.8,3808.2,65.0,4.091005660956586,8.244911915540479,4.174387269895637,0
9,60.0,80.55,4847.05,True,False,True,False,True,False,True,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,20.75,1038.8500000000004,5.0,80.55,4847.05,60.0,0.4253850740894792,-0.9100198072412213,-0.9524129804151563,18.397310448391536,1446.336818228175,16.061387977297965,338.46103173449643,2091890.1917624006,257.9681837572916,True,True,False,80.55,4847.05,60.0,4.388878109622984,8.486125551451341,4.0943445622221,0
