iter	Passed	Remaining
0	110	21901
1	181	17962
2	250	16438
3	333	16344
4	411	16059
5	484	15665
6	547	15088
7	646	15504
8	730	15507
9	791	15046
10	862	14817
11	919	14405
12	967	13918
13	1024	13615
14	1074	13248
15	1143	13155
16	1196	12877
17	1239	1217	4832	48861
18	5018	47811
19	5211	46906
20	5503	46909
21	5793	46877
22	5948	45774
23	6164	45203
24	6513	45592
25	6974	46674
26	7291	46720
27	7613	46768
28	7975	47027
29	8200	46468
30	8343	45484
31	8550	44888
32	8785	44459
33	8951	43705
34	9109	42943
35	9261	42190
36	9438	41579
37	9590	40887
38	9752	40262
39	9901	39606
40	10038	38931
41	10264	38612
42	10622	38782
43	10804	38306
44	10974	37800
45	11140	37295
46	11292	36761
47	11468	36317
48	11676	35981
49	11854	35562
50	11974	34983
51	12141	34555
52	12413	34430
53	12591	34044
54	12762	33647
55	12934	33259
56	13093	32849
57	13262	32470
58	13460	32167
59	13650	31850
60	13841	31539
61	14011	31185
62	14195	30869
63	14378	30553
64	14537	30192
65	14685	29816
66	14847	29474
67	15057	29229
68	15249	28951
69	15357	28521
70	15491	28145
71	15662	27844
72	15809	27504
73	15961	27176
74	16338	27230
75	16620	27116
76	16769	26787
77	16916	26459
78	17093	26181
79	17343	26014
80	17593	25847
81	17774	25578
82	17881	25206
83	18017	24881
84	18235	24671
85	18413	24407
86	18589	24144
87	18852	23993
88	19103	23825
89	19286	23572
90	19444	23290
91	19592	23000
92	19758	22732
93	19866	22403
94	20012	22118
95	20151	21830
96	20521	21790
97	20798	21647
98	20988	21412
99	21110	21110
100	21297	20875
101	21471	20629
102	21658	20397
103	21798	20121
104	21944	19854
105	22084	19584
106	22214	19307
107	22336	19027
108	22487	18773
109	22970	18793
110	23145	18557
111	23540	18495
112	23967	18453
113	24316	18344
114	24634	18208
115	24907	18036
116	25272	17928
117	25552	17757
118	25914	17639
119	26082	17388
120	26456	17273
121	26657	17043
122	27104	16967
123	27337	16755
124	27657	16594
125	27960	16421
126	28233	16228
127	28668	16126
128	28803	15853
129	29318	15786
130	29500	15538
131	29871	15388
132	30060	15143
133	30169	14859
134	30354	14615
135	30596	14398
136	30827	14176
137	31151	13995
138	31459	13805
139	31597	13541
140	31926	13359
141	32217	13159
142	32611	12998
143	32729	12728
144	32874	12469
145	33183	12273
146	33408	12045
147	33664	11827
148	33818	11575
149	34046	11348
150	34181	11092
151	34316	10836
152	34432	10577
153	34582	10329
154	34719	10079
155	34862	9833
156	35020	9591
157	35210	9359
158	35337	9112
159	35512	8878
160	35747	8659
161	35874	8415
162	36001	8172
163	36108	7926
164	36234	7686
165	36439	7463
166	36635	7239
167	36857	7020
168	37019	6790
169	37161	6557
170	37314	6328
171	37531	6109
172	37715	5886
173	37830	5652
174	37985	5426
175	38074	5191
176	38164	4959
177	38346	4739
178	38453	4511
179	38581	4286
180	38710	4063
181	38806	3838
182	38946	3617
183	39084	3398
184	39283	3185
185	39464	2970
186	39647	2756
187	39841	2543
188	39973	2326
189	40100	2110
190	40242	1896
191	40486	1686
192	40584	1471
193	40685	1258
194	40945	1049
195	41162	840
196	41351	629
197	41495	419
198	41595	209
199	41770	0
