,number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_l2_leaf_reg,params_learning_rate,params_scale_pos_weight,user_attrs_accuracy,user_attrs_f1,user_attrs_precision,user_attrs_recall,user_attrs_roc,state
0,0,0.10941964285714287,2024-08-03 14:43:22.867204,2024-08-03 14:44:31.122495,0 days 00:01:08.255291,0.7382629231383743,244,11,9.901337230098234e-05,0.09218707566959863,0.07423388619216283,0.754739336492891,0.15510204081632653,0.9047619047619048,0.08482142857142858,0.8197976670506912,COMPLETE
1,1,0.0,2024-08-03 14:44:31.122824,2024-08-03 14:45:01.154014,0 days 00:00:30.031190,0.8091079919228796,54,9,0.012262325744078865,0.0007845431851154656,0.008750804669151225,0.7345971563981043,0.0,0.0,0.0,0.8303283410138249,COMPLETE
2,2,0.0,2024-08-03 14:45:01.154340,2024-08-03 14:45:03.894480,0 days 00:00:02.740140,0.9066790634144909,1,7,0.00041307784939005116,0.03549983156761267,0.0065485312773995615,0.7345971563981043,0.0,0.0,0.0,0.8280529953917053,COMPLETE
3,3,0.006012896825396825,2024-08-03 14:45:03.894794,2024-08-03 14:45:04.861654,0 days 00:00:00.966860,0.7501965090112825,38,3,4.0227218278918005e-06,0.03860826433429612,0.006784972605016434,0.735781990521327,0.008888888888888887,1.0,0.004464285714285714,0.8303499423963133,COMPLETE
4,4,0.4549149258760108,2024-08-03 14:45:04.861974,2024-08-03 14:47:35.040130,0 days 00:02:30.178156,0.6119972842704858,221,11,0.00018999759050046218,0.0032512285105581306,0.4879326061545683,0.7855450236966824,0.5121293800539084,0.6462585034013606,0.42410714285714285,0.8300187211981567,COMPLETE
5,5,0.0,2024-08-03 14:47:35.040485,2024-08-03 14:47:38.697483,0 days 00:00:03.656998,0.4132502655174807,34,8,1.303020158261637e-05,0.027185663004215443,0.0019761931838756844,0.7345971563981043,0.0,0.0,0.0,0.8315380184331796,COMPLETE
6,6,0.747399462833914,2024-08-03 14:47:38.697861,2024-08-03 14:47:45.432726,0 days 00:00:06.734865,0.4979246169203584,34,8,3.7149928537904456e-07,0.0009809631848659583,0.5054407789521289,0.7097156398104265,0.6016260162601625,0.4731457800511509,0.8258928571428571,0.8342813940092165,COMPLETE
7,7,0.8058244047619048,2024-08-03 14:47:45.433051,2024-08-03 14:48:01.400835,0 days 00:00:15.967784,0.4146807056908338,143,7,0.10818076222754897,0.00022038814856045077,0.6317815310239271,0.45260663507109006,0.48666666666666664,0.3239644970414201,0.9776785714285714,0.8307171658986175,COMPLETE
8,8,0.18292873989218328,2024-08-03 14:48:01.401136,2024-08-03 14:48:05.161111,0 days 00:00:03.759975,0.3470447125953863,91,6,0.0003430850634553667,0.041884137175598295,0.03002872491261945,0.764218009478673,0.2490566037735849,0.8048780487804879,0.14732142857142858,0.8412586405529954,COMPLETE
9,9,0.7794932381948596,2024-08-03 14:48:05.161447,2024-08-03 14:48:10.632106,0 days 00:00:05.470659,0.32129570607993985,104,6,1.2110951034319041e-08,0.0001658133783967244,0.0010790812664795131,0.6267772511848341,0.5606694560669456,0.4077079107505071,0.8973214285714286,0.8279089861751152,COMPLETE
10,10,0.7968164794007491,2024-08-03 14:48:10.632449,2024-08-03 14:48:12.696147,0 days 00:00:02.063698,0.04003932198625343,172,3,1.1772181796987196,0.0001019698352745026,0.9995524881479226,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.8248415898617512,COMPLETE
11,11,0.7968164794007491,2024-08-03 14:48:12.696498,2024-08-03 14:48:15.522445,0 days 00:00:02.825947,0.004148910707247162,171,3,8.035010990632637,0.00013142215512793233,0.7317881641265976,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.8256624423963134,COMPLETE
12,12,0.7968164794007491,2024-08-03 14:48:15.522755,2024-08-03 14:48:18.263881,0 days 00:00:02.741126,0.09809502289124061,164,5,0.9495441920955932,0.00035398120378285134,0.17919221262932164,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.8324308755760368,COMPLETE
13,13,0.28306293554006967,2024-08-03 14:48:18.264204,2024-08-03 14:48:33.159244,0 days 00:00:14.895040,0.17747034977577678,164,4,0.0606959228267843,0.003899831856536911,0.2331363891903343,0.7855450236966824,0.3693379790940766,0.8412698412698413,0.23660714285714285,0.8386952764976958,COMPLETE
14,14,0.7968164794007491,2024-08-03 14:48:33.159581,2024-08-03 14:49:06.682246,0 days 00:00:33.522665,0.15275245581909302,205,10,0.03119316875976539,0.00011184219466669057,0.12732086685885594,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.829075460829493,COMPLETE
15,15,0.7968164794007491,2024-08-03 14:49:06.682568,2024-08-03 14:49:08.494694,0 days 00:00:01.812126,0.2398727327885074,115,5,0.6379662158040246,0.0004433360662211896,0.8889950980938127,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.8281934043778802,COMPLETE
16,16,0.7968164794007491,2024-08-03 14:49:08.495049,2024-08-03 14:50:36.288687,0 days 00:01:27.793638,0.5255476389210478,141,12,8.55240854505208,0.0016207690489761382,0.06385226664904456,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.8084029377880184,COMPLETE
17,17,0.2826140873015873,2024-08-03 14:50:36.289025,2024-08-03 14:50:43.083080,0 days 00:00:06.794055,0.009816353429871898,192,4,0.004873388319244904,0.007697960014666992,0.26611763141226513,0.7843601895734598,0.3680555555555556,0.828125,0.23660714285714285,0.8377592165898617,COMPLETE
18,18,0.43474618069607446,2024-08-03 14:50:43.083468,2024-08-03 14:50:53.511717,0 days 00:00:10.428249,0.6279951598218378,132,7,0.32185201329649593,0.0002929779415140687,0.02167766560366163,0.792654028436019,0.5042492917847026,0.689922480620155,0.39732142857142855,0.8282474078341016,COMPLETE
