,number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_l2_leaf_reg,params_learning_rate,params_scale_pos_weight,state
0,0,0.8447763550757925,2024-08-01 08:39:13.192405,2024-08-01 08:39:15.554261,0 days 00:00:02.361856,0.3034955791512888,121,6,0.16914468671146257,0.00957474819748613,0.07625529778011375,COMPLETE
1,1,0.8452895326136883,2024-08-01 08:39:15.554607,2024-08-01 08:39:16.362930,0 days 00:00:00.808323,0.26171800438250625,207,5,3.936997718415189e-06,0.003055678099423178,0.25827400784702215,COMPLETE
2,2,0.8424365525953147,2024-08-01 08:39:16.363269,2024-08-01 08:39:18.448612,0 days 00:00:02.085343,0.985274105073954,29,7,1.834477707208909e-08,0.0010375123348848345,0.06511216367653709,COMPLETE
3,3,0.8407498851630685,2024-08-01 08:39:18.448934,2024-08-01 08:39:19.862798,0 days 00:00:01.413864,0.11475476070336799,192,5,0.05177392340191513,0.0007375047982102891,0.10556048167943641,COMPLETE
4,4,0.8446686954524574,2024-08-01 08:39:19.863130,2024-08-01 08:39:33.481113,0 days 00:00:13.617983,0.04479457828446154,83,11,2.584162795753563e-05,0.0005111011052812938,0.018572813816583947,COMPLETE
5,5,0.8424186093247589,2024-08-01 08:39:33.481466,2024-08-01 08:39:34.413343,0 days 00:00:00.931877,0.6144671190896208,130,6,0.7594245937738229,0.00048068211854647777,0.9597220798656956,COMPLETE
6,6,0.8364327342673403,2024-08-01 08:39:34.413725,2024-08-01 08:39:36.480111,0 days 00:00:02.066386,0.6421988103880155,207,8,6.320739078705501e-06,0.023760902106961065,0.04444478303275495,COMPLETE
7,7,0.842687758383096,2024-08-01 08:39:36.480500,2024-08-01 08:39:41.515755,0 days 00:00:05.035255,0.8177160060278101,102,11,0.5232623691818893,0.00017673890405296922,0.01644962448965899,COMPLETE
8,8,0.8398455443270556,2024-08-01 08:39:41.516084,2024-08-01 08:39:42.476522,0 days 00:00:00.960438,0.35329619076015983,38,4,0.009882068674900128,0.0011516288146929423,0.004504256608245343,COMPLETE
9,9,0.8412522967386312,2024-08-01 08:39:42.476854,2024-08-01 08:39:45.533062,0 days 00:00:03.056208,0.6460516208044861,108,9,3.482673569271037e-05,0.03622603256851321,0.003064205876497592,COMPLETE
10,10,0.8451280431786863,2024-08-01 08:39:45.533420,2024-08-01 08:39:47.926817,0 days 00:00:02.393397,0.30405895035488645,231,3,1.0923708961730528e-07,0.006438061068922664,0.523346572698167,COMPLETE
11,11,0.8456448093706936,2024-08-01 08:39:47.927218,2024-08-01 08:39:50.336292,0 days 00:00:02.409074,0.2721353522056312,253,3,7.699180758597654e-08,0.0060986640079164645,0.6205533191231548,COMPLETE
12,12,0.8444605535140102,2024-08-01 08:39:50.336652,2024-08-01 08:39:53.071897,0 days 00:00:02.735245,0.15642087852128117,251,3,5.376640425011351e-07,0.00523971150813508,0.3144592734143921,COMPLETE
13,13,0.8436279857602206,2024-08-01 08:39:53.072260,2024-08-01 08:39:53.928699,0 days 00:00:00.856439,0.4279554464178157,170,4,0.0007169630121266088,0.09576819885273787,0.23119454137090886,COMPLETE
14,14,0.845278766651355,2024-08-01 08:39:53.929023,2024-08-01 08:39:56.948056,0 days 00:00:03.019033,0.20729305996983854,253,5,3.3058004226519323e-06,0.0034216926118829593,0.9717379898933146,COMPLETE
15,15,0.840143402618282,2024-08-01 08:39:56.948407,2024-08-01 08:39:57.695824,0 days 00:00:00.747417,0.4978461446912087,166,3,2.0927793249293069e-07,0.0020134218490557724,0.1942443681132569,COMPLETE
16,16,0.8463697175011484,2024-08-01 08:39:57.696147,2024-08-01 08:39:59.099646,0 days 00:00:01.403499,0.008415741174999825,214,5,1.1802073985830567e-08,0.013155807432922925,0.41848449360021683,COMPLETE
17,17,0.8452859439595773,2024-08-01 08:39:59.099974,2024-08-01 08:40:00.719472,0 days 00:00:01.619498,0.04866845949391113,160,7,1.1844051765548988e-08,0.020063789125717272,0.505953735438251,COMPLETE
18,18,0.8430968649517685,2024-08-01 08:40:00.719803,2024-08-01 08:40:04.256468,0 days 00:00:03.536665,0.003887442784236356,226,9,6.595611764015938,0.011953318415285656,0.13294913700654037,COMPLETE
19,19,0.841647048690859,2024-08-01 08:40:04.256809,2024-08-01 08:40:05.225241,0 days 00:00:00.968432,0.13217382364364946,229,4,0.0007684121301057332,0.07321814761118117,0.001478412226396697,COMPLETE
20,20,0.8460862138263664,2024-08-01 08:40:05.225595,2024-08-01 08:40:06.208248,0 days 00:00:00.982653,0.41327599157344824,146,6,8.41349598546382e-08,0.03804557734642592,0.016148444197398245,COMPLETE
21,21,0.8467429375287091,2024-08-01 08:40:06.208597,2024-08-01 08:40:07.250738,0 days 00:00:01.042141,0.4217517652450354,145,6,4.213326249222893e-08,0.028297180717157353,0.020303550746498967,COMPLETE
22,22,0.844413901010565,2024-08-01 08:40:07.251065,2024-08-01 08:40:08.275227,0 days 00:00:01.024162,0.42245586011247266,147,6,1.0215370608318283e-06,0.04623696798808377,0.012598189838802282,COMPLETE
23,23,0.8411518144235185,2024-08-01 08:40:08.275707,2024-08-01 08:40:10.496001,0 days 00:00:02.220294,0.5397472941514614,69,8,3.8477289426631296e-08,0.015027570647280082,0.0072636178694556654,COMPLETE
24,24,0.8437643546164446,2024-08-01 08:40:10.496387,2024-08-01 08:40:11.580619,0 days 00:00:01.084232,0.7143432870265618,184,6,3.8815978869085355e-07,0.04173875077895126,0.029365995452956963,COMPLETE
25,25,0.8415968075333026,2024-08-01 08:40:11.580949,2024-08-01 08:40:13.181020,0 days 00:00:01.600071,0.8039616360048305,141,7,1.0064939590351224e-08,0.02939222823467839,0.03496522902614373,COMPLETE
26,26,0.8434485530546624,2024-08-01 08:40:13.181373,2024-08-01 08:40:14.151048,0 days 00:00:00.969675,0.4171175660133184,60,5,4.51659634237751e-05,0.05703093144935325,0.009196222437949694,COMPLETE
27,27,0.8426518718419845,2024-08-01 08:40:14.151403,2024-08-01 08:40:17.801481,0 days 00:00:03.650078,0.52838590928487,97,9,8.485142422383489e-08,0.01786641579446668,0.02362277468510705,COMPLETE
28,28,0.8481999310978411,2024-08-01 08:40:17.801842,2024-08-01 08:40:19.439480,0 days 00:00:01.637638,0.99116853097674,186,8,1.3860797323324817e-06,0.00802626308509326,0.004020480724393347,COMPLETE
29,29,0.8328835553514009,2024-08-01 08:40:19.439811,2024-08-01 08:40:37.430499,0 days 00:00:17.990688,0.9688281254525687,187,12,1.2562721563108517e-06,0.009227458990745653,0.0011647016961876368,COMPLETE
30,30,0.8432296451538814,2024-08-01 08:40:37.431006,2024-08-01 08:40:39.387300,0 days 00:00:01.956294,0.9042005719111164,208,8,0.00018989108848917473,0.009370607532814384,0.005913446298382088,COMPLETE
31,31,0.845429490124024,2024-08-01 08:40:39.387674,2024-08-01 08:40:40.590775,0 days 00:00:01.203101,0.3531763099322804,2,6,4.109742827483773e-08,0.02675203490710278,0.002202162840967264,COMPLETE
32,32,0.8410154455672945,2024-08-01 08:40:40.591135,2024-08-01 08:40:42.660647,0 days 00:00:02.069512,0.7526545480141436,131,7,2.505227311724858e-07,0.013118859981361138,0.05474086477253681,COMPLETE
33,33,0.8437643546164447,2024-08-01 08:40:42.660997,2024-08-01 08:40:44.593555,0 days 00:00:01.932558,0.5901556131551083,147,5,3.2745683395575213e-06,0.004941520857968999,0.012421919447087947,COMPLETE
34,34,0.8398670762517225,2024-08-01 08:40:44.593893,2024-08-01 08:40:46.017503,0 days 00:00:01.423610,0.18570524525178742,172,6,2.2280616742696897e-08,0.0021063999714505907,0.002191577479207597,COMPLETE
35,35,0.834807073954984,2024-08-01 08:40:46.017971,2024-08-01 08:40:50.871394,0 days 00:00:04.853423,0.48643850216730045,195,10,1.4528342222444323e-07,0.061321462562930834,0.08175987074224524,COMPLETE
36,36,0.8418049494717502,2024-08-01 08:40:50.871731,2024-08-01 08:40:52.587600,0 days 00:00:01.715869,0.22156594161633048,114,7,1.393204785529149e-06,0.008838979294733285,0.004077256416254727,COMPLETE
37,37,0.839698409508498,2024-08-01 08:40:52.587934,2024-08-01 08:40:53.564881,0 days 00:00:00.976947,0.3453716387521276,210,5,9.966946185979228e-06,0.021509409946045013,0.009351442161334942,COMPLETE
38,38,0.8380081534221405,2024-08-01 08:40:53.565219,2024-08-01 08:40:55.374456,0 days 00:00:01.809237,0.09278160986556167,156,4,3.639867188752724e-08,0.0001029757152825976,0.02158610190841098,COMPLETE
39,39,0.8466137459807075,2024-08-01 08:40:55.374809,2024-08-01 08:40:56.543273,0 days 00:00:01.168464,0.6967624771598522,124,6,5.672326294700441e-07,0.038062281388593494,0.04592483581210575,COMPLETE
40,40,0.8463194763435922,2024-08-01 08:40:56.543621,2024-08-01 08:41:01.246830,0 days 00:00:04.703209,0.886859841255424,130,8,1.1998919760765562e-05,0.0038003373455332903,0.12445613230110356,COMPLETE
41,41,0.8437643546164446,2024-08-01 08:41:01.247214,2024-08-01 08:41:07.312914,0 days 00:00:06.065700,0.9066805503361599,124,8,8.939613664186571e-06,0.002311760967632865,0.13351579656252996,COMPLETE
42,42,0.8423217156637575,2024-08-01 08:41:07.313269,2024-08-01 08:41:08.620418,0 days 00:00:01.307149,0.9966351082989394,97,7,0.00014322041100992575,0.0030873371033702944,0.06902460932988932,COMPLETE
