,trial_number,value,params,datetime_start,datetime_complete,f1,accuracy,roc,recall,precision
0,0,0.5669948630136987,"{'lgb_idx': 0, 'xgb_idx': 110, 'nn_idx': 88, 'lgb_weight': 0.5332199730287885, 'xgb_weight': 0.23289552128789798, 'nn_weight': 0.7116308625472124}",2024-08-04 06:32:49.209840,2024-08-04 06:33:16.366996,0.5753424657534247,0.7796208530805687,0.8223286290322581,0.5625,0.5887850467289719
1,1,0.6130464901477833,"{'lgb_idx': 107, 'xgb_idx': 71, 'nn_idx': 36, 'lgb_weight': 0.5981979394548087, 'xgb_weight': 0.26887916759620445, 'nn_weight': 0.2071033650295389}",2024-08-04 06:33:16.367433,2024-08-04 06:33:37.274813,0.5991379310344829,0.7796208530805687,0.8271529377880186,0.6205357142857143,0.5791666666666667
2,2,0.6130464901477833,"{'lgb_idx': 8, 'xgb_idx': 116, 'nn_idx': 64, 'lgb_weight': 0.16531356682391143, 'xgb_weight': 0.6774485382412385, 'nn_weight': 0.10455624220682518}",2024-08-04 06:33:37.275461,2024-08-04 06:33:49.657917,0.5991379310344829,0.7796208530805687,0.8328629032258065,0.6205357142857143,0.5791666666666667
3,3,0.5989779135338346,"{'lgb_idx': 93, 'xgb_idx': 5, 'nn_idx': 52, 'lgb_weight': 0.9269023010387173, 'xgb_weight': 0.1648414968436812, 'nn_weight': 0.2999706025161527}",2024-08-04 06:33:49.658414,2024-08-04 06:34:19.463390,0.5921052631578947,0.7796208530805687,0.8349654377880185,0.6026785714285714,0.5818965517241379
4,4,0.6086360837438424,"{'lgb_idx': 65, 'xgb_idx': 68, 'nn_idx': 50, 'lgb_weight': 0.21419661112877092, 'xgb_weight': 0.49961143391066354, 'nn_weight': 0.5418312149876436}",2024-08-04 06:34:19.463747,2024-08-04 06:34:38.942297,0.5948275862068966,0.7772511848341233,0.8295074884792626,0.6160714285714286,0.575
5,5,0.6052623261694058,"{'lgb_idx': 3, 'xgb_idx': 48, 'nn_idx': 77, 'lgb_weight': 0.916572248109562, 'xgb_weight': 0.47127598775156765, 'nn_weight': 0.35191645816756045}",2024-08-04 06:34:38.942843,2024-08-04 06:35:19.841001,0.6017699115044247,0.7867298578199052,0.8334029377880184,0.6071428571428571,0.5964912280701754
6,6,0.6272050865800866,"{'lgb_idx': 53, 'xgb_idx': 42, 'nn_idx': 7, 'lgb_weight': 0.7440556943532032, 'xgb_weight': 0.37800017748434456, 'nn_weight': 0.16565426364408603}",2024-08-04 06:35:19.841449,2024-08-04 06:35:39.012333,0.6147186147186147,0.7890995260663507,0.8311923963133642,0.6339285714285714,0.5966386554621849
7,7,0.6130464901477833,"{'lgb_idx': 55, 'xgb_idx': 68, 'nn_idx': 13, 'lgb_weight': 0.7404989329978606, 'xgb_weight': 0.6145493769289867, 'nn_weight': 0.5987762007351624}",2024-08-04 06:35:39.012905,2024-08-04 06:35:55.552957,0.5991379310344829,0.7796208530805687,0.8342237903225806,0.6205357142857143,0.5791666666666667
8,8,0.5888263601654471,"{'lgb_idx': 75, 'xgb_idx': 106, 'nn_idx': 45, 'lgb_weight': 0.3630319603709299, 'xgb_weight': 0.8312250122071133, 'nn_weight': 0.4863772224591675}",2024-08-04 06:35:55.553608,2024-08-04 06:36:14.577925,0.5879732739420936,0.7808056872037915,0.83224366359447,0.5892857142857143,0.5866666666666667
9,9,0.6099908971180663,"{'lgb_idx': 107, 'xgb_idx': 98, 'nn_idx': 67, 'lgb_weight': 0.8305968821934354, 'xgb_weight': 0.3898786964474552, 'nn_weight': 0.5226281057045431}",2024-08-04 06:36:14.578510,2024-08-04 06:36:27.237440,0.5986984815618221,0.7808056872037915,0.8255616359447004,0.6160714285714286,0.5822784810126582
