,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_num_leaves,state
0,0,0.8401362253100597,2024-08-01 08:47:34.448398,2024-08-01 08:47:34.982810,0 days 00:00:00.534412,0.6222347092847894,5,0.44555601012149826,0.12097820751428782,3.1558809148248614,0.0007972305064734517,7,87,52,COMPLETE
1,1,0.8395476860358291,2024-08-01 08:47:34.983284,2024-08-01 08:47:35.493308,0 days 00:00:00.510024,0.45932932873336496,3,0.5359132137091258,8.732398986890404,0.7241249557257928,0.001500189659736391,10,76,76,COMPLETE
2,2,0.8377856568672486,2024-08-01 08:47:35.493748,2024-08-01 08:47:36.618142,0 days 00:00:01.124394,0.9741042696833131,7,0.4579780614245317,1.5339378883777564,2.0252455473883217,0.0008911360073659621,9,140,43,COMPLETE
3,3,0.8402367076251722,2024-08-01 08:47:36.618588,2024-08-01 08:47:37.392529,0 days 00:00:00.773941,0.8175765229818235,7,0.9255184472021786,9.351554110805322e-08,2.640180562271029e-06,0.03554520551125253,11,130,134,COMPLETE
4,4,0.8455694476343593,2024-08-01 08:47:37.392908,2024-08-01 08:47:37.720305,0 days 00:00:00.327397,0.7962915487271913,5,0.5007882759527125,0.0011124579859022802,2.740881275161283e-06,0.08887055232517113,4,122,140,COMPLETE
5,5,0.838725884244373,2024-08-01 08:47:37.720728,2024-08-01 08:47:38.415867,0 days 00:00:00.695139,0.8898708634107847,5,0.8806308397359791,4.3238394165959055e-07,5.497244509641148e-08,0.0002664100731598577,5,43,62,COMPLETE
6,6,0.8392928915939366,2024-08-01 08:47:38.416298,2024-08-01 08:47:38.812146,0 days 00:00:00.395848,0.4249683381104393,3,0.5295554326078336,1.147431015483921,0.30083152370357846,0.0006991101206737421,8,94,95,COMPLETE
7,7,0.838173231511254,2024-08-01 08:47:38.812564,2024-08-01 08:47:39.354023,0 days 00:00:00.541459,0.7788815813818626,5,0.7057678383935104,0.930642499882036,4.6261063743379054e-08,0.00043049334374327023,8,125,29,COMPLETE
8,8,0.8348609037666513,2024-08-01 08:47:39.354495,2024-08-01 08:47:39.676984,0 days 00:00:00.322489,0.790903747992854,1,0.4101447776848486,3.2544193645009125e-06,0.015525902930069328,0.00045666476477728747,3,115,107,COMPLETE
9,9,0.8394615583371614,2024-08-01 08:47:39.677442,2024-08-01 08:47:40.113289,0 days 00:00:00.435847,0.6360404208026481,2,0.6480453803630418,8.05162880095304e-08,0.015056984203743235,0.00010452788491896486,4,133,60,COMPLETE
10,10,0.8460790365181443,2024-08-01 08:47:40.113731,2024-08-01 08:47:40.644118,0 days 00:00:00.530387,0.5584360175889231,6,0.7216074153982407,0.0018160158252750296,1.016736710037878e-05,0.09904600190247173,5,32,149,COMPLETE
11,11,0.8461543982544787,2024-08-01 08:47:40.644566,2024-08-01 08:47:41.364993,0 days 00:00:00.720427,0.5543332595971908,6,0.7309189174873545,0.0016535352248340564,1.3761311099925165e-05,0.0757069604392624,6,22,149,COMPLETE
12,12,0.8437428226917777,2024-08-01 08:47:41.365434,2024-08-01 08:47:42.342825,0 days 00:00:00.977391,0.5439932149843512,6,0.7535229801926194,0.0009879208348698562,4.8927964117672404e-05,0.013362458632002396,6,20,118,COMPLETE
13,13,0.8435131488286632,2024-08-01 08:47:42.343265,2024-08-01 08:47:43.480901,0 days 00:00:01.137636,0.5346938265547881,6,0.8105588132987698,4.3180023100907746e-05,0.00014789355847525773,0.007073665752814775,6,23,149,COMPLETE
14,14,0.8448373621956822,2024-08-01 08:47:43.481345,2024-08-01 08:47:44.128823,0 days 00:00:00.647478,0.6660439106020739,6,0.6546781999101953,0.015259397528056402,4.132539835046875e-06,0.09445140854603593,6,54,124,COMPLETE
15,15,0.8448194189251264,2024-08-01 08:47:44.129260,2024-08-01 08:47:45.225592,0 days 00:00:01.096332,0.5449380002334726,4,0.8167005350020243,3.729030863890672e-05,0.001864357088865962,0.02237959272607646,12,44,148,COMPLETE
16,16,0.8337233004134128,2024-08-01 08:47:45.226052,2024-08-01 08:47:45.590388,0 days 00:00:00.364336,0.4900834060159205,7,0.9918521992564016,0.008656165543036585,1.651807962669364e-05,0.0032514195054589934,3,59,106,COMPLETE
17,17,0.8460323840146992,2024-08-01 08:47:45.590810,2024-08-01 08:47:46.293208,0 days 00:00:00.702398,0.5981770971111519,4,0.6098934174813032,9.200059028334798e-05,3.013475736662565e-07,0.030957178590872558,5,38,127,COMPLETE
18,18,0.8425729214515387,2024-08-01 08:47:46.293679,2024-08-01 08:47:47.153947,0 days 00:00:00.860268,0.7139623697333646,6,0.7481139171083285,0.018252355829614927,0.0013300570958719262,0.05182937822741255,7,66,84,COMPLETE
19,19,0.8404161403307304,2024-08-01 08:47:47.154378,2024-08-01 08:47:47.654188,0 days 00:00:00.499810,0.7162333077802957,7,0.8247539576518198,8.433377745968715e-06,4.7440554609999797e-07,0.009955991231591629,4,31,111,COMPLETE
20,20,0.8414209634818557,2024-08-01 08:47:47.654651,2024-08-01 08:47:48.291410,0 days 00:00:00.636759,0.5798182899315517,6,0.5932957305634919,0.001142634324668859,0.0006537535479174191,0.006020489203793759,5,101,136,COMPLETE
21,21,0.844833773541571,2024-08-01 08:47:48.291831,2024-08-01 08:47:48.862968,0 days 00:00:00.571137,0.40074207959368113,4,0.6255244008959723,0.00011936396517427499,5.345017171212328e-07,0.040745353080628655,5,37,127,COMPLETE
22,22,0.846075447864033,2024-08-01 08:47:48.863460,2024-08-01 08:47:49.769461,0 days 00:00:00.906001,0.5992448226300793,3,0.7045321689997219,0.00030004792636211176,1.764495256549883e-08,0.021856278615263767,6,31,149,COMPLETE
23,23,0.8452357028020211,2024-08-01 08:47:49.769894,2024-08-01 08:47:50.848459,0 days 00:00:01.078565,0.49419764188956233,3,0.7172706225754204,0.003929173258131879,3.0433969564964717e-05,0.0175198349023809,7,28,150,COMPLETE
24,24,0.8424365525953147,2024-08-01 08:47:50.848880,2024-08-01 08:47:51.554377,0 days 00:00:00.705497,0.5798730344415521,2,0.7700846442207859,0.08128409780344163,2.681359762147587e-08,0.061230662273463396,6,52,140,COMPLETE
25,25,0.8422786518144236,2024-08-01 08:47:51.554817,2024-08-01 08:47:52.621808,0 days 00:00:01.066991,0.6748080307028953,2,0.689810654210707,0.0002935586904383204,1.6321601582291272e-08,0.09353175153312897,9,69,117,COMPLETE
26,26,0.843218879191548,2024-08-01 08:47:52.622264,2024-08-01 08:47:53.783472,0 days 00:00:01.161208,0.5172378022770266,3,0.8732946108183558,8.589672561322602e-06,1.528971114427516e-07,0.028521945042177966,6,20,97,COMPLETE
27,27,0.8456591639871383,2024-08-01 08:47:53.783910,2024-08-01 08:47:54.832358,0 days 00:00:01.048448,0.4578765779507455,1,0.5752081865802001,0.0927254612610225,9.148832702467182e-06,0.0632536526888683,8,32,134,COMPLETE
28,28,0.8393574873679377,2024-08-01 08:47:54.832812,2024-08-01 08:47:55.357718,0 days 00:00:00.524906,0.6390818706661922,5,0.6652161149347056,1.1105664957855167e-08,0.0001897600728421233,0.0033700732009310547,4,47,141,COMPLETE
29,29,0.8421889354616444,2024-08-01 08:47:55.358188,2024-08-01 08:47:56.050821,0 days 00:00:00.692633,0.6057093504486918,4,0.7757688488443374,0.0024728019910365286,0.005905240114019898,0.012379281166825871,7,87,129,COMPLETE
30,30,0.8447404685346808,2024-08-01 08:47:56.051276,2024-08-01 08:47:56.682836,0 days 00:00:00.631560,0.5613065415639632,6,0.7192776350692426,0.0002906118883167039,1.501808453787047e-06,0.02202359091476564,5,78,143,COMPLETE
31,31,0.8456232774460266,2024-08-01 08:47:56.683281,2024-08-01 08:47:57.273650,0 days 00:00:00.590369,0.5922969667135598,4,0.6113275287931278,5.653372231488927e-05,1.865367973006841e-07,0.040802824664262306,5,36,150,COMPLETE
32,32,0.8449414331649058,2024-08-01 08:47:57.274096,2024-08-01 08:47:58.636256,0 days 00:00:01.362160,0.6220334954765475,5,0.6942554595974421,0.0002323564041199367,1.1887365301347815e-08,0.05938403079546737,7,39,123,COMPLETE
33,33,0.8403371899402847,2024-08-01 08:47:58.636743,2024-08-01 08:47:59.137203,0 days 00:00:00.500460,0.48757020403865137,3,0.5751952516046253,1.6622373454156872e-05,6.04234887954702e-07,0.0017254074706718166,6,150,131,COMPLETE
34,34,0.8447548231511255,2024-08-01 08:47:59.137725,2024-08-01 08:47:59.906833,0 days 00:00:00.769108,0.6786860152742302,4,0.5388881012924918,3.1963903415954587e-06,8.12006222694974e-08,0.028927538518993094,5,28,142,COMPLETE
35,35,0.8481783991731741,2024-08-01 08:47:59.907340,2024-08-01 08:48:00.399042,0 days 00:00:00.491702,0.4594499329969968,4,0.7441910482566023,0.0009389044387757709,6.825959601301597e-05,0.06780460444792884,4,61,133,COMPLETE
36,36,0.8418372473587505,2024-08-01 08:48:00.399507,2024-08-01 08:48:00.957524,0 days 00:00:00.558017,0.44251710517410536,7,0.8762884388037216,0.026105547105670632,7.082003170066004e-05,0.09836044229888412,4,62,76,COMPLETE
37,37,0.8476759875976114,2024-08-01 08:48:00.957991,2024-08-01 08:48:01.350804,0 days 00:00:00.392813,0.5136144807728589,5,0.7932649842089323,0.00292478748813835,0.14212230202586934,0.0645608502695763,3,51,135,COMPLETE
38,38,0.844173461185117,2024-08-01 08:48:01.351974,2024-08-01 08:48:01.969018,0 days 00:00:00.617044,0.9958016011272308,5,0.8367428586161041,0.3284677551416456,0.9610076910432904,0.061732168939285945,3,51,115,COMPLETE
39,39,0.8454869085898025,2024-08-01 08:48:01.969519,2024-08-01 08:48:02.331391,0 days 00:00:00.361872,0.40768036873896357,5,0.7877818000265667,0.0017340952353365456,0.1668411680993405,0.04381545945885384,3,76,43,COMPLETE
40,40,0.8459893201653652,2024-08-01 08:48:02.331839,2024-08-01 08:48:02.942584,0 days 00:00:00.610745,0.4709329826837152,5,0.7446654038340019,9.092023364734745,0.04877433639673828,0.07295177771120914,4,56,97,COMPLETE
41,41,0.8477908245291687,2024-08-01 08:48:02.943038,2024-08-01 08:48:03.474163,0 days 00:00:00.531125,0.5193776909150416,6,0.7343391635484934,0.004725844118844562,7.230806318722157e-06,0.04055111615282036,4,44,135,COMPLETE
42,42,0.8486987540192925,2024-08-01 08:48:03.474650,2024-08-01 08:48:03.856924,0 days 00:00:00.382274,0.5103451802589203,6,0.8527933700324202,0.005169061432288146,8.43517359358337,0.04746917976331167,3,45,136,COMPLETE
43,43,0.8480922714745062,2024-08-01 08:48:03.857451,2024-08-01 08:48:04.255657,0 days 00:00:00.398206,0.5118406119522085,7,0.9266332797847437,0.005650742499272218,2.336941904483647,0.041764119963305854,3,46,137,COMPLETE
44,44,0.8474499023886082,2024-08-01 08:48:04.256135,2024-08-01 08:48:04.619204,0 days 00:00:00.363069,0.5102796606073517,7,0.9356018831916795,0.007302715035915703,9.02675986453556,0.041315544082262685,3,47,136,COMPLETE
45,45,0.8397988918236104,2024-08-01 08:48:04.619698,2024-08-01 08:48:05.079240,0 days 00:00:00.459542,0.903124792747601,7,0.912764234934042,0.04878128496579809,3.136105749692903,0.017667985169088005,3,68,21,COMPLETE
46,46,0.843107630914102,2024-08-01 08:48:05.079772,2024-08-01 08:48:05.522491,0 days 00:00:00.442719,0.4431807283918262,7,0.8520397591921521,0.2684688061728583,0.747118821283611,0.036052780271942385,4,63,120,COMPLETE
47,47,0.8350367478180983,2024-08-01 08:48:05.522924,2024-08-01 08:48:05.951176,0 days 00:00:00.428252,0.5192631739203094,6,0.9851194952126016,0.006324037464415594,9.285202134006243,0.00010202768043293259,3,77,107,COMPLETE
48,48,0.8391708773541571,2024-08-01 08:48:05.951884,2024-08-01 08:48:06.420157,0 days 00:00:00.468273,0.43028353524370944,6,0.9030848099437921,0.036439435949517165,0.16310399869271994,0.007756920585284078,3,94,133,COMPLETE
49,49,0.8426446945337619,2024-08-01 08:48:06.420642,2024-08-01 08:48:06.902038,0 days 00:00:00.481396,0.46633053330484175,5,0.9519253388950142,0.0009290954487665548,1.7352264943957267,0.015502441867185414,4,43,124,COMPLETE
50,50,0.8411231051906293,2024-08-01 08:48:06.902587,2024-08-01 08:48:09.062557,0 days 00:00:02.159970,0.7562978336497235,6,0.7903416555387976,0.0006022640904330237,0.3654278415879453,0.004487636522847679,10,58,138,COMPLETE
51,51,0.8472561150666054,2024-08-01 08:48:09.063037,2024-08-01 08:48:09.524549,0 days 00:00:00.461512,0.5125925166554609,7,0.9389831354558842,0.008805870197338863,7.206142245115648,0.04780182414274789,3,49,135,COMPLETE
52,52,0.8449844970142397,2024-08-01 08:48:09.525031,2024-08-01 08:48:09.902276,0 days 00:00:00.377245,0.4948507538420947,7,0.9730849682928125,0.00569156633215913,4.694849714327673,0.03203167000880092,3,44,144,COMPLETE
