,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_layer1,params_dropout_layer2,params_learning_rate,params_units_layer1,params_units_layer2,state
0,0,0.8443026527331189,2024-08-01 08:59:44.862948,2024-08-01 08:59:57.324298,0 days 00:00:12.461350,61,0.23860395294411094,0.4108508733382096,0.0030875384329746487,131,348,COMPLETE
1,1,0.8412451194304088,2024-08-01 08:59:57.324622,2024-08-01 09:00:09.284003,0 days 00:00:11.959381,40,0.35121043069212843,0.36088773462652235,0.0005933348887184934,342,195,COMPLETE
2,2,0.8395010335323843,2024-08-01 09:00:09.284319,2024-08-01 09:00:20.898665,0 days 00:00:11.614346,68,0.3754054903270463,0.42436041469611907,0.00593731859611415,347,294,COMPLETE
3,3,0.8413527790537437,2024-08-01 09:00:20.898946,2024-08-01 09:00:32.031877,0 days 00:00:11.132931,80,0.29348819958020184,0.33670958075787655,0.0013287544472535366,458,274,COMPLETE
4,4,0.8386397565457051,2024-08-01 09:00:32.032146,2024-08-01 09:00:42.672414,0 days 00:00:10.640268,73,0.2614999586879882,0.2940568949081558,0.002137265251369916,159,136,COMPLETE
5,5,0.8386684657785944,2024-08-01 09:00:42.672735,2024-08-01 09:00:56.109038,0 days 00:00:13.436303,96,0.22533160265995383,0.40749767974405876,0.0001303875068407491,52,103,COMPLETE
6,6,0.8389268488745981,2024-08-01 09:00:56.109390,2024-08-01 09:01:09.832031,0 days 00:00:13.722641,45,0.2791654999944426,0.2584736628721652,0.00021775807893288155,187,273,COMPLETE
7,7,0.839522565457051,2024-08-01 09:01:09.832342,2024-08-01 09:01:20.572725,0 days 00:00:10.740383,73,0.47510234358919756,0.4039618797298582,0.008750725454586515,321,404,COMPLETE
8,8,0.8397307073954984,2024-08-01 09:01:20.573010,2024-08-01 09:01:31.538871,0 days 00:00:10.965861,95,0.4151801557884906,0.45365330785413444,0.0005840694755948761,407,326,COMPLETE
9,9,0.838682820395039,2024-08-01 09:01:31.539168,2024-08-01 09:01:41.704648,0 days 00:00:10.165480,96,0.40903583465122473,0.2757034635015341,0.0013699915509546633,328,168,COMPLETE
10,10,0.83507263435921,2024-08-01 09:01:41.704925,2024-08-01 09:01:53.329182,0 days 00:00:11.624257,117,0.2207418501713203,0.48224590617292873,0.003444231689826516,35,493,COMPLETE
11,11,0.8396732889297198,2024-08-01 09:01:53.329499,2024-08-01 09:02:05.436101,0 days 00:00:12.106602,56,0.2992133248505023,0.3352408638590658,0.0030204377281791207,503,387,COMPLETE
12,12,0.8414532613688563,2024-08-01 09:02:05.436503,2024-08-01 09:02:16.618730,0 days 00:00:11.182227,59,0.30128912226083643,0.3437220202347439,0.0010253980545339087,206,41,COMPLETE
13,13,0.8401900551217272,2024-08-01 09:02:16.619066,2024-08-01 09:02:27.885740,0 days 00:00:11.266674,54,0.3155503628981274,0.21503505275010928,0.0006401465537969599,201,212,COMPLETE
14,14,0.8418336587046396,2024-08-01 09:02:27.886042,2024-08-01 09:02:39.109613,0 days 00:00:11.223571,58,0.20298422945069744,0.3634801367149878,0.0003545582427055228,135,36,COMPLETE
15,15,0.8398670762517226,2024-08-01 09:02:39.109911,2024-08-01 09:02:54.275291,0 days 00:00:15.165380,32,0.20048487587341002,0.386277003135201,0.00022732048965132902,110,32,COMPLETE
16,16,0.8422499425815341,2024-08-01 09:02:54.275633,2024-08-01 09:03:06.127029,0 days 00:00:11.851396,127,0.24635888089941999,0.49361507022623374,0.00028576778028692435,109,378,COMPLETE
17,17,0.8405489205328434,2024-08-01 09:03:06.127356,2024-08-01 09:03:13.490058,0 days 00:00:07.362702,126,0.2530834372369881,0.4946239245174054,0.004702689954208642,253,459,COMPLETE
18,18,0.8386971750114837,2024-08-01 09:03:13.490401,2024-08-01 09:03:28.520725,0 days 00:00:15.030324,110,0.24357287807242237,0.45672305956446124,0.00010318776684215363,85,362,COMPLETE
19,19,0.8402259416628388,2024-08-01 09:03:28.521019,2024-08-01 09:03:39.745991,0 days 00:00:11.224972,85,0.3423838357097468,0.45648465462526233,0.0020398439188438213,264,434,COMPLETE
20,20,0.8384746784565916,2024-08-01 09:03:39.746320,2024-08-01 09:03:54.012165,0 days 00:00:14.265845,112,0.4953281955801208,0.43292206738142686,0.0003000493236264624,100,353,COMPLETE
21,21,0.839723530087276,2024-08-01 09:03:54.012499,2024-08-01 09:04:02.066512,0 days 00:00:08.054013,63,0.20729693172231795,0.3700238790545699,0.00036048708786434193,144,322,COMPLETE
22,22,0.8399388493339458,2024-08-01 09:04:02.066827,2024-08-01 09:04:13.779127,0 days 00:00:11.712300,54,0.23988677521195778,0.3188519928718333,0.00038019152901058815,137,220,COMPLETE
23,23,0.8400752181901701,2024-08-01 09:04:13.779463,2024-08-01 09:04:30.344831,0 days 00:00:16.565368,43,0.2640056123784923,0.37265575180386373,0.00015531583460635777,81,405,COMPLETE
24,24,0.8391995865870463,2024-08-01 09:04:30.345118,2024-08-01 09:04:41.135942,0 days 00:00:10.790824,85,0.20051696613673428,0.39746824925822644,0.0004519959229422304,220,90,COMPLETE
25,25,0.838991444648599,2024-08-01 09:04:41.136274,2024-08-01 09:04:52.197992,0 days 00:00:11.061718,65,0.23158878891569126,0.47428003402378355,0.0008272613023212244,168,239,COMPLETE
26,26,0.8408001263206246,2024-08-01 09:04:52.198335,2024-08-01 09:05:03.362585,0 days 00:00:11.164250,127,0.3276578901858274,0.4300515587875692,0.0002127542793818311,124,448,COMPLETE
27,27,0.8425657441433163,2024-08-01 09:05:03.362888,2024-08-01 09:05:14.961675,0 days 00:00:11.598787,75,0.277656655559421,0.30521438020695435,0.009849237211553626,62,323,COMPLETE
28,28,0.8419772048690859,2024-08-01 09:05:14.961976,2024-08-01 09:05:26.314776,0 days 00:00:11.352800,79,0.2736667802901028,0.31095776928645297,0.0041047004848557955,63,317,COMPLETE
29,29,0.8392713596692696,2024-08-01 09:05:26.315081,2024-08-01 09:05:37.339489,0 days 00:00:11.024408,103,0.3511822770038847,0.21556596317140417,0.007615168666307512,67,358,COMPLETE
30,30,0.8385966926963712,2024-08-01 09:05:37.339785,2024-08-01 09:05:48.541645,0 days 00:00:11.201860,89,0.281671406340613,0.2646933300538492,0.00617826267273149,35,255,COMPLETE
31,31,0.843793063849334,2024-08-01 09:05:48.541984,2024-08-01 09:05:59.748301,0 days 00:00:11.206317,75,0.2702103759438073,0.3117993215425271,0.009992972210617339,74,305,COMPLETE
32,32,0.8399029627928342,2024-08-01 09:05:59.748635,2024-08-01 09:06:11.060906,0 days 00:00:11.312271,71,0.24896326287596068,0.30416443840254254,0.009202655999586818,93,298,COMPLETE
33,33,0.8388550757923748,2024-08-01 09:06:11.061274,2024-08-01 09:06:22.657059,0 days 00:00:11.595785,78,0.3176605216295371,0.23728570895912837,0.00571699812138876,111,348,COMPLETE
34,34,0.8399316720257235,2024-08-01 09:06:22.657445,2024-08-01 09:06:34.010024,0 days 00:00:11.352579,69,0.2927078137331799,0.2806171321355719,0.0023632180981763293,156,294,COMPLETE
35,35,0.8412666513550758,2024-08-01 09:06:34.010395,2024-08-01 09:06:48.472349,0 days 00:00:14.461954,49,0.3881762491927578,0.346827839187509,0.006625723510920653,239,382,COMPLETE
36,36,0.8423504248966468,2024-08-01 09:06:48.472666,2024-08-01 09:06:59.688706,0 days 00:00:11.216040,89,0.26361205472419214,0.32964839907248156,0.0015628896588932276,55,260,COMPLETE
37,37,0.8401254593477262,2024-08-01 09:06:59.689019,2024-08-01 09:07:12.302634,0 days 00:00:12.613615,77,0.2811499440385437,0.3252359734874422,0.0015254873584231489,56,262,COMPLETE
38,38,0.8389699127239322,2024-08-01 09:07:12.302938,2024-08-01 09:07:22.872739,0 days 00:00:10.569801,85,0.2613419005154982,0.2990006833843721,0.009684482919119339,297,178,COMPLETE
