,number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,user_attrs_accuracy,user_attrs_f1,user_attrs_precision,user_attrs_recall,user_attrs_roc,state
0,0,0.0,2024-08-03 14:37:34.421113,2024-08-03 14:37:34.747535,0 days 00:00:00.326422,1.0626226532954734e-05,0.607274585926902,5.8217931534545784e-08,0.022744639576451245,0.008526096003215137,3,2,0.7860511875249818,0.7345971563981043,0.0,0.0,0.0,0.8259828629032258,COMPLETE
1,1,0.0,2024-08-03 14:37:34.747981,2024-08-03 14:37:34.956655,0 days 00:00:00.208674,6.828609906968731e-08,0.41296891561501037,3.0087044803250484e-07,5.194284107658193e-05,0.0013981499713621888,4,3,0.8659414031125717,0.7345971563981043,0.0,0.0,0.0,0.8310483870967742,COMPLETE
2,2,0.46821673349496457,2024-08-03 14:37:34.956978,2024-08-03 14:37:35.299707,0 days 00:00:00.342729,3.2083392171590955e-05,0.45597315191609034,3.8103767231860685e-06,4.4571303925378626e-07,0.07307275496624395,9,10,0.9283637824113983,0.7808056872037915,0.5169712793733682,0.6226415094339622,0.4419642857142857,0.8236067108294931,COMPLETE
3,3,0.0,2024-08-03 14:37:35.300208,2024-08-03 14:37:35.716832,0 days 00:00:00.416624,4.938909041207052e-06,0.9185186018619349,0.0009105312278428613,0.03262037459449976,0.005651993504637759,8,4,0.7468495008192644,0.7345971563981043,0.0,0.0,0.0,0.815653801843318,COMPLETE
4,4,0.33544309078771695,2024-08-03 14:37:35.717201,2024-08-03 14:37:35.939668,0 days 00:00:00.222467,0.03263598496548823,0.8963218454427949,6.158814325024712,1.935325968404172e-08,0.04648551102583316,4,5,0.8352577526333618,0.7760663507109005,0.411214953271028,0.6804123711340206,0.29464285714285715,0.8269909274193549,COMPLETE
5,5,0.0,2024-08-03 14:37:35.940026,2024-08-03 14:37:36.149617,0 days 00:00:00.209591,7.3818267324704445,0.5960343248204367,2.906726472853642e-07,1.998949300059908e-05,0.00028530442590277215,4,10,0.497870356360959,0.7345971563981043,0.0,0.0,0.0,0.82400633640553,COMPLETE
6,6,0.0,2024-08-03 14:37:36.149964,2024-08-03 14:37:36.385046,0 days 00:00:00.235082,2.3719572045639663,0.5921315096196971,5.496846125519677,0.4789669210267649,0.0001699717812715407,8,9,0.5364399733975573,0.7345971563981043,0.0,0.0,0.0,0.8261700748847925,COMPLETE
7,7,0.0,2024-08-03 14:37:36.385403,2024-08-03 14:37:36.674824,0 days 00:00:00.289421,3.1323393422075974e-07,0.5596452394864747,0.3105055368763616,0.5696757716173181,0.0001032652325602173,6,2,0.45680049534792605,0.7345971563981043,0.0,0.0,0.0,0.8313652073732718,COMPLETE
8,8,0.0,2024-08-03 14:37:36.675252,2024-08-03 14:37:36.951692,0 days 00:00:00.276440,5.9173341143210856e-06,0.4007301707641917,0.00013733060065766444,0.17463539637560935,0.0026309835448673673,6,1,0.8765439275567168,0.7345971563981043,0.0,0.0,0.0,0.8322544642857143,COMPLETE
9,9,0.0,2024-08-03 14:37:36.952068,2024-08-03 14:37:37.296771,0 days 00:00:00.344703,0.6128671989330555,0.5007101272977319,8.008493742522523e-05,0.0021048869285868305,0.0010066507126525739,9,10,0.9761020069002163,0.7345971563981043,0.0,0.0,0.0,0.8206617223502306,COMPLETE
10,10,0.5203125,2024-08-03 14:37:37.297143,2024-08-03 14:37:37.724956,0 days 00:00:00.427813,0.0006501632305850047,0.7742975741379035,5.670641098553399e-06,3.051299906370316e-07,0.08077812060680119,12,7,0.6045998106952374,0.7985781990521327,0.5663265306122449,0.6607142857142857,0.4955357142857143,0.8299899193548386,COMPLETE
11,11,0.496875,2024-08-03 14:37:37.725300,2024-08-03 14:37:38.187795,0 days 00:00:00.462495,0.000803768021526981,0.7851642504252467,5.5065073361107945e-06,1.382670370882096e-07,0.07634839302193107,12,7,0.6317793563955877,0.7867298578199052,0.5408163265306123,0.6309523809523809,0.4732142857142857,0.8234843029953917,COMPLETE
12,12,0.017956458464443045,2024-08-03 14:37:38.188193,2024-08-03 14:37:38.633716,0 days 00:00:00.445523,0.002322781508758548,0.77109278096154,8.081718217030927e-06,7.663970720761791e-07,0.018559614443625385,12,7,0.6468827662696384,0.7381516587677726,0.026431718061674006,1.0,0.013392857142857142,0.8244455645161289,COMPLETE
13,13,0.141172093837535,2024-08-03 14:37:38.634089,2024-08-03 14:37:39.078982,0 days 00:00:00.444893,0.0016046449235067857,0.7640977687274331,0.005242616415559229,1.1361417683695073e-08,0.025551137019522174,12,7,0.6186990952852162,0.7571090047393365,0.19607843137254902,0.8064516129032258,0.11160714285714286,0.8228218605990784,COMPLETE
14,14,0.5158638003206271,2024-08-03 14:37:39.079342,2024-08-03 14:37:39.517179,0 days 00:00:00.437837,0.025287034848701342,0.8228572224826931,3.5094029861285278e-06,5.219964182133735e-07,0.08730825500581074,11,7,0.5823411341630653,0.7879146919431279,0.5536159600997507,0.6271186440677966,0.4955357142857143,0.8273113479262673,COMPLETE
15,15,0.006012896825396825,2024-08-03 14:37:39.517577,2024-08-03 14:37:39.953740,0 days 00:00:00.436163,0.013266268315581446,0.9960103239239617,2.27270879075715e-08,6.803671917081654e-06,0.018518264975212716,10,8,0.5526064017053985,0.735781990521327,0.008888888888888887,1.0,0.004464285714285714,0.8254680299539172,COMPLETE
16,16,0.2710945197044335,2024-08-03 14:37:39.954105,2024-08-03 14:37:40.352434,0 days 00:00:00.398329,0.09581686920808535,0.6767168558323944,0.017242044853623743,1.868283193716749e-06,0.03343954193872824,11,6,0.4108951143467049,0.7772511848341233,0.35172413793103446,0.7727272727272727,0.22767857142857142,0.8301987327188941,COMPLETE
17,17,0.5400183697881066,2024-08-03 14:37:40.352857,2024-08-03 14:37:40.866283,0 days 00:00:00.513426,0.00017529545139755714,0.8570065212674831,7.781309187875355e-07,0.00028271237929321095,0.09760898781123564,10,5,0.6834159127383674,0.7843601895734598,0.5645933014354066,0.6082474226804123,0.5267857142857143,0.8219902073732719,COMPLETE
18,18,0.0,2024-08-03 14:37:40.866661,2024-08-03 14:37:41.260659,0 days 00:00:00.393998,0.00010461654409825163,0.7044597752864372,6.457101560028726e-07,6.266853646563324,0.008616746600919887,10,5,0.7052617323376668,0.7345971563981043,0.0,0.0,0.0,0.8246435771889402,COMPLETE
