,number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,state
0,0,0.8359195567294442,2024-08-01 08:38:55.852992,2024-08-01 08:38:55.953089,0 days 00:00:00.100097,7.73742395700806,0.8856831525999065,0.03558416532036661,4.67110806161465e-08,0.005651925317046116,7,5,0.6295380991959477,COMPLETE
1,1,0.8400716295360587,2024-08-01 08:38:55.953526,2024-08-01 08:38:56.061544,0 days 00:00:00.108018,4.4217880024717134e-05,0.4344910507095398,2.242327999592e-07,0.04309722249732095,0.09744090490902528,7,1,0.959095242541269,COMPLETE
2,2,0.8370284508497934,2024-08-01 08:38:56.061936,2024-08-01 08:38:56.171213,0 days 00:00:00.109277,0.0009602006250940423,0.8743739206964563,0.003334949676208518,0.026668138507817886,0.003300836468576885,7,10,0.9257628749552077,COMPLETE
3,3,0.8343979673863114,2024-08-01 08:38:56.171655,2024-08-01 08:38:56.261081,0 days 00:00:00.089426,3.4787919248892274e-06,0.9593248450535058,1.4460128965964536e-05,3.9907310558677844e-05,0.0688238249540829,4,1,0.5092249787510115,COMPLETE
4,4,0.835736535369775,2024-08-01 08:38:56.261495,2024-08-01 08:38:56.366120,0 days 00:00:00.104625,0.0002984929483807916,0.6946589454189365,0.0009124529601050066,0.013131272270476654,0.0001209573908366708,10,10,0.5124391647617327,COMPLETE
5,5,0.8285341065686724,2024-08-01 08:38:56.366557,2024-08-01 08:38:56.448739,0 days 00:00:00.082182,0.13493716149105275,0.9031941136789832,0.07466570552418435,3.747559753445409e-05,0.005639084414154685,3,5,0.4912723008029638,COMPLETE
6,6,0.836203060404226,2024-08-01 08:38:56.449102,2024-08-01 08:38:56.536053,0 days 00:00:00.086951,4.509616324800863e-05,0.55806333455837,0.0006112087646996879,1.3863292054166108e-08,0.011603353505278621,4,2,0.7858603973252196,COMPLETE
7,7,0.8369782096922371,2024-08-01 08:38:56.536458,2024-08-01 08:38:56.652733,0 days 00:00:00.116275,1.0225243448426643e-06,0.43892847642023153,0.0003402442385663567,0.002474396710144216,0.0073631130711943205,11,6,0.9945023381432025,COMPLETE
8,8,0.8322914274230592,2024-08-01 08:38:56.653137,2024-08-01 08:38:56.762937,0 days 00:00:00.109800,1.5236763048477027e-05,0.9524650352005996,2.51680363700966e-07,0.016410021180965195,0.00022861231994083936,7,2,0.42759671043679404,COMPLETE
9,9,0.8369566777675701,2024-08-01 08:38:56.763304,2024-08-01 08:38:56.866369,0 days 00:00:00.103065,0.19971724940136137,0.5331955527021798,2.4458357968830378e-05,0.1453367375648261,0.00026551111462135593,12,10,0.6610306952081872,COMPLETE
